Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"DANTAS, Maria José Pereira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Ações afirmativas na educação profissional técnica de nível médio: um estudo no IFPB - campus João Pessoa,2015,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Programas de ação afirmativa||Ensino profissional||Relações raciais||Brasil.||Affirmative action||Vocational education||Racial inequalities||Socio-racial quotas||Brazil,Não informado pela instituição,por,"Esta dissertação parte da contextualização da presença do Estado na configuração de profunda exclusão na realidade brasileira, em especial da população negra. Discute os termos importantes na temática ações afirmativas com a inclusão de critérios étnico-raciais. Evidencia a historicidade das desigualdades raciais e educacionais no Brasil. Investiga a ação afirmativa implementada no Brasil, a partir da Lei das cotas (Lei 12.711/2012) e seus efeitos em cursos de Educação Profissional Técnica de Nível Médio (EPTNM), no Instituto Federal da Paraíba (IFPB), Campus João Pessoa, considerando esta lei como relevante intervenção do Estado no combate da profunda exclusão, notadamente, da população negra. A pesquisa de caráter quantitativo e qualitativo averigua indicadores de desempenho acadêmicos, além de analisar, por meio de entrevistas e grupos focais, o impacto dos programas de assistência estudantil neste desempenho, na visão da instituição e dos estudantes beneficiários. Constata que a combinação dos critérios escola pública, renda per capita e étnico-racial usados nas políticas de cotas garante o ingresso de estudantes autodeclarados pretos, pardos e índios, metade deles com renda menor ou igual a 1,5 salário mínimo. Contudo, com base nos resultados, é possível afirmar que na EPTNM a consolidação de impactos sociais positivos para os grupos socorraciais com desvantagens histórico-sociais depende da (1) manutenção do ingresso via cotas; (2) acesso dos cotistas aos programas de benefícios estudantis; e (3) de acompanhamento psicossocial, pedagógico e de orientação educacional.",https://repositorio.ufpe.br/handle/123456789/15608,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Leão, Aniele Fernandes de Sousa",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"História, memória e relações etnicorraciais: diálogos com a juventude negra da educação profissional e tecnológica integrada de nível médio do CEFET MG",2015,Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG),CEFET,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Ensino profissional||História oral||Relações etnicorraciais,Não informado pela instituição,por,"A forma como a história do Brasil é construída e difundida, inferiorizando sujeitos e naturalizando preconceitos, tem impedido a formação de uma sociedade igualitária e fomentado uma variedade de discriminações que se revelam cotidianamente e atingem principalmente a parcela negra e pobre da nossa sociedade. Diante desse cenário de desigualdades raciais essa pesquisa trabalha com a memória como fonte com o intuito de compreender as impressões construídas pelos jovens negros estudantes da Educação Profissional e Tecnológica Integrada de Nível Médio sobre os caminhos percorridos até o ingresso no Centro Federal de Educação Tecnológica de Minas Gerais – CEFET/MG. Para atingir esse objetivo esse estudo investigou as escolas por onde esses jovens passaram, as relações que estabeleceram com os estudos, a opção pela educação profissional, as estratégias utilizadas para ingresso no CEFET MG e principalmente suas vivencias e impressões construídas sobre raça, racismo, cotas, desigualdade racial e de oportunidades, preconceito e outras questões referente às relações etnicorraciais em suas vidas e em nossa sociedade. Trata-se de uma pesquisa histórica apoiada na História Oral como suporte teórico e metodológico. Foram escolhidos para esse diálogo os jovens que ingressaram no CEFET MG no 1º semestre de 2014, pois compreendemos que a história oral deve ser empregada em pesquisas contemporâneas, como é o caso dessa, pois os sujeitos não precisam recorrer a um passado muito distante para refletir sobre suas memórias. Os instrumentos utilizados para esse diálogo foram aplicação de questionário e realização de entrevistas. Através desse estudo os jovens revisitaram suas memórias e trouxeram a público mais do que fatos e acontecimentos, eles revelaram seus sentimentos, conquistas e ilusões, abordando questões sobre a presença cotidiana do racismo em nossa sociedade e de que forma essa mazela influenciou ou não suas experiências e expectativas quando à educação. O recorte racial é uma variável muito importante para se compreender o perfil dos jovens atualmente matriculados na educação profissional, pois nos ajuda a entender porque apenas uma pequena parte dos jovens negros consegue romper as fronteiras da desigualdade e ingressar em uma instituição de ensino cuja seleção exige um intenso preparo educacional, como é o caso do CEFET MG.",https://repositorio.cefetmg.br/handle/123456789/383,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Dantas, Maria Conceição Borges",http://lattes.cnpq.br/6317314315523062,"Degenszajn, Raquel Raichelis||Não informado pela instituição",http://lattes.cnpq.br/5154090338357308||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O trabalho de assistentes sociais na Educação Profissional e Tecnológica: desvelando seu processamento no Instituto Federal de São Paulo (IFSP),2020,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Ciências Sociais,Programa de Estudos Pós-Graduados em Serviço Social,CNPQ::CIENCIAS SOCIAIS APLICADAS::SERVICO SOCIAL,openAccess,doctoralThesis,Trabalho profissional||Serviço Social||Educação profissional e tecnológica||Assistência Estudantil||Instituto Federal,Professional work||Social work||Professional and technological education||Student assistance||Federal institute,por,"The thesis has as object of study the work of the social worker in professional and technological education, focusing on the Federal Institute of São Paulo (IFSP). The study of this theme gains relevance due to the growing insertion of social workers, mainly from the 2000s, in the Education Policy, due to the expansion policies of the Federal Network of Professional, Scientific and Technological Education. Such expansion was driven by the access and permanence policies expressed, among others, in Decree no.7234/2010 PNAES and Law no. 12711/2012 – known as the Quota Law, which expands possibilities and challenges to carry out professional work, based on the principles and guidelines of the Social Work ethical-political project. The main objective of the study was to analyze the processing of the work of social workers at the Federal Institute of São Paulo, seeking to explain its contents and meanings. The research was guided by the hypothesis that the way in which the Student Assistance Policy has been assumed buy the IFSP has led to a simplification of professional work through predominantly bureaucratic-administrative activities that limit the possibilities of building broader professional responses, focusing on relative professional autonomy an in the consolidation of a certain institutional “place” of Social Work. The study was carried out through bibliographic, documentary and field research, with the realization of focus groups and semi-structured interviews with social workers professionals from the IFSP, in addition to the analytical treatment of institutional documents that standardize and define guidelines for carrying out the professional work in the institution. As a main result of the research, a double reductionism was identified in relation to Student Assistance, the main institutional requisition, which directly impacts the processing of the work of the social worker. This reductionism is materialized, either by the restricted understanding of student assistance aimed at the almost exclusive execution of the Permanence Aid Program, with an emphasis on bureaucratic-administrative activities rather than activities of a socio-educational nature; either because such procesuality has caused a downgrade of the intellectual and creative dimension of professional work, reducing it to simple work, in Marx’s terms. This whole context has hindered the institutional agents’ understanding of professional attributions and competences, reflecting in a movement of “de-professionalization” of the social worker activity",https://repositorio.pucsp.br/jspui/handle/handle/25881,Não informado pela instituição,Não informado pela instituição,"Dantas, Maria Conceição Borges. O trabalho de assistentes sociais na Educação Profissional e Tecnológica: desvelando seu processamento no Instituto Federal de São Paulo (IFSP). 2020. Tese (Doutorado em Serviço Social) - Programa de Estudos Pós-Graduados em Serviço Social da Pontifícia Universidade Católica de São Paulo, São Paulo, 2020."
"Nogueira, Silvia Cristina Conde||http://lattes.cnpq.br/2597065203873535",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,II Fase da política de expansão da Rede Federal de Educação Profissional e Tecnológica no Amazonas: acesso ampliado e precarizado à educação pública,2016,Universidade Federal do Amazonas (UFAM),UFAM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação Profissional||Institutos Federais||Rede Federal de Educação Profissional e Tecnológica||Federal Network of Professional and Technological Education||Professional Education||Federal Institutes||CIÊNCIAS HUMANAS: EDUCAÇÃO,Não informado pela instituição,por,"Versa sobre a criação da institucionalidade Instituto Federal e a expansão da Rede Federal de Educação Profissional e Tecnológica (Rede Federal). Aborda as ações do Governo Federal no contexto amazônico mediadas pela institucionalização do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas (IFAM) e pela implantação de cursos técnicos de nível médio nos municípios de Lábrea, Maués, Parintins, Presidente Figueiredo e Tabatinga, municípios contemplados na segunda fase de expansão da Rede Federal. Este trabalho de tese __ de natureza teórico-documental __ visa analisar as contradições da oferta de cursos técnicos de nível médio nos campi do IFAM implantados nos referidos municípios em relação à demanda dos cursos e às especificidades de desenvolvimento econômico. As categorias teórico-metodológicas do materialismo histórico-dialético __ totalidade, contradição e mediação __ engendraram o levantamento bibliográfico, o levantamento documental e a organização e análise das informações coletadas. A análise da segunda fase da expansão da Rede Federal no interior do Amazonas revelou a parceria público-privada como aporte do processo de expansão das instituições federais de educação profissional e tecnológica; a imposição de vinculação da oferta pública de educação profissional às estratégias de desenvolvimento econômico por meio dos Arranjos Produtivos Locais (APLs); a prioridade na oferta de cursos técnicos de nível médio; a oferta desses cursos nas modalidades presencial e a distância e nas formas integrada e subsequente; a política de cotas para o preenchimento das vagas. A ênfase na relação entre a oferta e a demanda desses cursos nos campi demonstrou que o acesso à educação pública, no interior do Amazonas, foi ampliado. Contudo, a comparação entre a oferta e a demanda dos cursos revelou que a maioria das vagas são para os cursos subsequentes e, ainda, que um expressivo quantitativo de vagas ficaram ociosas e/ou foram preenchidas por meio de chamadas extras. Ademais, no que se refere às especificidades econômicas dos municípios, foi apontado que apenas alguns cursos implantados podem ser articulados aos APLs; que todas as referências a essa categoria são gerais e não evidenciam ações práticas; que a Pesquisa de Atividade Econômica Regional identifica a demanda por formação de técnicos em realidades de emprego formal; que, nos municípios analisados, o emprego formal é muito restrito ou apresenta saldos negativos na relação entre admitidos e demitidos. As evidências do modo como a segunda fase da política de expansão da Rede Federal foi implantada nos campi do IFAM são antagônicas às categorias Educação Integrada e Educação Politécnica. Esse antagonismo deu origem à tese de acesso ampliado e precarizado à educação pública no interior do Amazonas. Infere-se que o maior e mais importante desafio dos campi do IFAM seja ético-político: atender à imposição legal da formação da classe trabalhadora para o mercado de trabalho, transformando as condições em que essa imposição se estabelece, de modo a garantir a educação integrada como princípio e o rompimento com perfis profissionais delineados em comportamentos e atitudes necessários ao mercado para que o processo de interiorização da instituição se constitua em condição de acesso e permanência à educação pública, gratuita e socialmente referenciada.","NOGUEIRA, Silvia Cristina Conde. II Fase da política de expansão da Rede Federal de Educação Profissional e Tecnológica no Amazonas: acesso ampliado e precarizado à educação pública. 2016. 212 f. Tese (Doutorado em Educação) - Universidade Federal do Amazonas, Manaus, 2016.||http://tede.ufam.edu.br/handle/tede/5107",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Maicon Donizete Andrade",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A gestão tecnocrática e empresarial nas escolas estaduais de educação profissional integral do Ceará (2008 a 2023),2024,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação básica||Ensino médio integrado||Gestão da educação||Educação profissional,Não informado pela instituição,por,"Tese (doutorado) — Universidade de Brasília, Faculdade de Educação, Programa de Pós-Graduação em Educação, 2024.","SILVA, Maicon Donizete Andrade. A gestão tecnocrática e empresarial nas escolas estaduais de educação profissional integral do Ceará (2008 a 2023) . 2024. 302 f., il. Tese (Doutorado em Educação) — Universidade de Brasília, Brasília, 2024.||http://repositorio.unb.br/handle/10482/51143",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pinheiro, Carina Lilian Fernandes",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Serviço Social e cotas: desafios para a permanência dos estudantes no Instituto Federal do Rio Grande do Norte,2020,Universidade Federal da Paraíba (UFPB),UFPB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Serviço Social na educação||Cotas||Desafios||Permanência||Assistência estudantil||Social work in education||Quotas||Challenges||Permanence||Student assistance||CNPQ::CIENCIAS SOCIAIS APLICADAS::SERVICO SOCIAL,Não informado pela instituição,por,"Social Work is a profession that had a conservative historical origin, focused on serving the interests of the bourgeoisie and the organization of the capitalist productive base. In this work, a brief report was initially produced on the performance of the Social Worker inserted in the Professional and Technological Education, more precisely in the Federal Institute of Education, Science and Technology of Rio Grande do Norte (IFRN), especially dealing with his performance for the permanence of the students after the institution of the quota policy through the Laws nº 12.711/2012 and 13.409/2016. The challenges related to the permanence of students posts to Social Assistants in the post-quota policy context are the object of this study, which has the objective of precisely identifying and reflecting on the challenges and demands that are presented to the Social Service professional inserted in the IFRN in enabling the permanence of students after the implementation of the quota policy in the institution. Methodologically, in order to achieve these objectives, a bibliographical and documentary research was develop an analysis of the themes treated in the research using dialectical historical materialism as a method, as well as qualitative and quantitative empirical field research, with the Social Workers who experienced the period before and after the quotas, and therefore, knowing the institutional reality before the quotas may be able to identify and reflect on what has effectively changed after the quotas. The empirical research was conducted through a questionnaire with open and closed questions, developed in Google Forms and sent a link via institutional email. In the evaluation of the data extracted from the questionnaires of the 17 Social Workers participating in the research, as well as the bibliographic and documentary content studied, it was possible to perceive and understand several challenges that are presented to the category for the permanence of students after quotas, among them: the absence of a permanence policy associated with the quota policy, which deals only with access; the increasing demand in the number of students seeking the institution's student assistance programs and the lack of budgetary resources, which is on the agenda before the courts and contingencies made by the government, especially in this current ultraconservative and neoliberal political conjuncture. It was also inferred from the study that the quotas brought new demands to the IFRN Social Worker and made the category rethink its professional practice and the programs focused on student permanence in the institution. It was concluded that is necessary for the Social Worker to remain aligned with his ethical-political project thinking the permanence in facing these challenges through a broader view, beyond the student assistance programs, but understanding their limits and possibilities, especially in the current conjuncture.",https://repositorio.ufpb.br/jspui/handle/123456789/18236,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Budny, Jaqueline",http://lattes.cnpq.br/5025771743812024,"Dallago, Cleonilda Sabaini Thomazini||Não informado pela instituição",http://lattes.cnpq.br/6498080811310461||Não informado pela instituição,"Amaral, Shirlena Campos de Souza||Konno, Cristiane Carla||Dallago, Cleonilda Sabaini Thomazini||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/4323474960797731||http://lattes.cnpq.br/7177909103669155||http://lattes.cnpq.br/6498080811310461||Não informado pela instituição||Não informado pela instituição,Comissões e Bancas de Validação de Autodeclaração e Renda na Universidade Federal do Paraná (UFPR): desafios na efetivação de direitos da Lei de Cotas,2024,Universidade Estadual do Oeste do Paraná (UNIOESTE),UNIOESTE,Brasil,Centro de Ciências Sociais Aplicadas,Programa de Pós-Graduação em Serviço Social,CIENCIAS SOCIAIS APLICADAS::SERVICO SOCIAL,openAccess,masterThesis,"Lei de Cotas||Comissões e Bancas de Validação de Autodeclaração de Pretos(as), Pardos(as), Indígenas e Pessoas com Deficiência||Bancas de Renda",Não informado pela instituição,por,"El presente estudio tiene como tema las Comisiones y Juntas de Validación de Autodeclaración de Negros(as), Pardos(as), Indígenas y Personas con Discapacidad y Juntas de Renta que fueron creadas por las Instituciones de Enseñanza como forma de evitar fraudes en el acceso a la Educación Técnica y Superior Federal y, garantizar el derecho a las cuotas a los(as) estudiantes que de hecho tienen derecho conforme a la Ley n.º 12.711, de 29 de agosto de 2012, la llamada Ley de Cuotas. Teniendo como campo de estudio el Núcleo de Concursos vinculado a la Pró-Reitoría de Grado y Educación Profesional y, la Superintendencia de Inclusión, Políticas Afirmativas y Diversidad de la Universidad Federal de Paraná (UFPR). Por lo tanto, la investigación tiene como problema: ¿Cuáles son las dificultades encontradas mediante los criterios adoptados por la UFPR para componer las Comisiones y Juntas de Validación de Autodeclaración de Negros(as), Pardos(as) e Indígenas y Personas con Discapacidad y Juntas de Renta y, mediante las metodologías de verificación de las condiciones de derecho de los(as) candidatos optantes por el ingreso vía Ley n.º 12.711/2012 - Ley de Cuotas adoptadas por la UFPR para la inclusión o no de los(as) futuros(as) estudiantes? Para responder al problema planteado, se enumeran a continuación los objetivos de la investigación, proponiéndose como Objetivo General: Analizar la composición de las Comisiones y Juntas integrantes del cumplimiento de la Ley de Cuotas, Ley n.º 12.711/2012, y las metodologías utilizadas para la evaluación de las condiciones de derecho de los futuros estudiantes a través de cuotas de Negros(as), Pardos(as), Indígenas, Personas con Discapacidad y Renta conforme a la Ley. Y, como Objetivos específicos: a) Comprender el movimiento histórico de la Ley de Cuotas y de las Comisiones y Juntas de Validación y Renta en la UFPR; b) Recopilar información sobre la composición y formación profesional y/o técnica de las Comisiones y Juntas de Validación y de Renta en la UFPR; c) Verificar con los(as) responsables de la composición de las Comisiones y Juntas de Validación de Autodeclaración y Renta cuáles son las dificultades encontradas durante el proceso de composición de las Comisiones y Juntas ante los criterios establecidos en las normativas; d) Investigar con los(as) miembros(as) de las Comisiones y Juntas las dificultades encontradas mediante las metodologías adoptadas en la apreciación de las condiciones de derecho de los(as) candidatos optantes por el ingreso vía Ley n.º 12.711/2012 - Ley de Cuotas. La investigación es de naturaleza cualitativa, de carácter exploratorio y explicativo, utilizando levantamiento bibliográfico y documental, y como instrumentos de recolección de datos la entrevista y el cuestionario, el análisis es de contenido. Con los resultados de la investigación se comprendió cómo este escenario de la Ley de Cuotas y de las Comisiones se ha materializado en la Universidad Federal de Paraná a lo largo del tiempo. Los resultados contribuyeron a las reflexiones teóricas de la propia investigadora y, existe la perspectiva de que este estudio contribuya a la debida ejecución de la Ley de Cuotas en la propia Institución y con otras investigaciones que ya se han venido desarrollando sobre el tema a lo largo de los años.",https://tede.unioeste.br/handle/tede/7798,Não informado pela instituição,Não informado pela instituição,"BUDNY, Jaqueline. Comissões e Bancas de Validação de Autodeclaração e Renda na Universidade Federal do Paraná (UFPR): desafios na efetivação de direitos da Lei de Cotas. 2024. 210 f. Dissertação (Mestrado em Serviço Social) - Universidade Estadual do Oeste do Paraná, Toledo, 2024."
"Silva, Joice de Oliveira Epifânio da",http://lattes.cnpq.br/5469681240331372,"D'Avila, Geruza Tavares||Não informado pela instituição",http://lattes.cnpq.br/4518473278349003||Não informado pela instituição,"Simões, Janaína Machado||Pletsch, Márcia Denise||Nascimento, Rejane Prevot||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,A inserção de pessoas com deficiência no mercado de trabalho: os sentidos da Lei de Cotas para os gestores de Recursos Humanos da região metropolitana do Rio de Janeiro,2017,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Sociais Aplicadas,Programa de Pós-Graduação em Administração,Sociologia,openAccess,masterThesis,PCDs||inserção de PCDs no mercado de trabalho||Gestores de RH||Lei de Cotas||Preconceito,insertion of PCDs into the labor market||HR Managers||Quotas Law||Prejudice.,por,"A lei nº 8213/91, conhecida como Lei de Cotas foi formulada como ferramenta para implementar a Política Nacional de Cotas Empregatícias para Portadores de Deficiência. Esta lei hoje é um dos principais meios para a inserção das PCDs (Pessoas com Deficiência) no mercado de trabalho. Contudo, a implementação desta lei ocorre diante de algumas dificuldades, como a acessibilidade, por exemplo, além do preconceito no que tange às PCDs no meio social, o que acaba interferindo na efetividade da mesma. Este trabalho tem como objetivo, compreender os sentidos atribuídos à Lei de Cotas pelos Gestores de RH que atuam, ou atuaram, em organizações que se aplica a Lei de Cotas. Para atingir este objetivo foram realizadas nove entrevistas, sendo oito entrevistas realizadas com gestores, dos quais alguns estavam em pleno exercício da função até a data da entrevista e outros que haviam saído recentemente da organização em que exercia a função de gestor de RH, e ainda, foi entrevistada a coordenadora do Núcleo Estadual de Atendimento ao Deficiente (NEAD). Além das entrevistas este trabalho fez uso da técnica de observação e a análise do material levantado ocorreu por meio dos Núcleos de Significação. Os resultados mostram que os gestores entrevistados ainda percebem a Lei de Cotas como uma Lei meramente punitiva, entretanto, entendem a Lei de Cotas também, como uma importante, senão única, ferramenta para a inserção das PCDs no mercado de trabalho. Com isso, pode-se afirmar que os sentidos que os gestores atribuem a Lei de Cotas são carregados de preconceito e a forma como a Lei de Cotas é significada por esses gestores reflete na forma como executam essa Lei, e ainda, pode-se afirmar que a questão é cultural",https://rima.ufrrj.br/jspui/handle/20.500.14407/10313,Não informado pela instituição,Não informado pela instituição,"SILVA, Joice de Oliveira Epifânio da. A inserção de pessoas com deficiência no mercado de trabalho: os sentidos da Lei de Cotas para os gestores de Recursos Humanos da região metropolitana do Rio de Janeiro. 2017. 139 f. Dissertação (Mestrado em Administração) - Instituto de Ciências Sociais Aplicadas, Universidade Federal Rural do Rio de Janeiro, Seropédica, RJ, 2017."
"Chaves, Juliana Fátima da Silva",Não informado pela instituição,"Colling, Ana Maria||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Itinerários do SENAC/RS: olhares sobre as trajetórias de profissionais surdos(as),2011,Universidade La Salle (UNILASALLE),UNILASALLE,BR,Não informado pela instituição,Programa de Pós-Graduação em Educação (PPGEdu),Não informado pela instituição,openAccess,masterThesis,Educação profissional||Currículo||Acessibilidade||Inclusão||Ações afirmativas||Identidade||Representação||Poder,Não informado pela instituição,por,"O tema da presente dissertação propõe a discussão acerca das trajetórias de profissionais surdos contratados por meio da lei de cotas para pessoas com deficiência. O objetivo foi analisar os cenários que constituem estas trajetórias e como os sujeitos envolvidos no programa de qualificação oferecido pelo SENAC/RS as significam. A metodologia utilizada para capturar estes significados foram análise documental e entrevistas, com fundamentação teórica embasada nos estudos culturais em educação, sob a ótica curricular. O aprofundamento dos estudos possibilitou agrupar enunciados que constituem práticas discursivas em unidades de análise que correspondem a questões de identidade, representação e relações de poder imbricadas nas negociações desenvolvidas neste processo de inclusão e permanência do sujeito surdo no contexto profissional.",http://hdl.handle.net/11690/590,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Oliveira, Zildeni Martins de",http://lattes.cnpq.br/4727479042587677,"Brito, Angela Ernestina Cardoso de||Não informado pela instituição",http://lattes.cnpq.br/5921523417027877||Não informado pela instituição,"Thiollent, Michel Jean Marie||Barros, Barbara Terezinha Sepúlveda||Brito, Angela Ernestina Cardoso de||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/7705124392973654||http://lattes.cnpq.br/1663711434096438||http://lattes.cnpq.br/5921523417027877||Não informado pela instituição||Não informado pela instituição,Ações afirmativas na pós-graduação: ingresso e permanência de estudantes negras/os no mestrado do Programa de Pós-Graduação em Educação Profissional e Tecnológica IFBAIANO Campus CATU,2024,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Filosofia e Ciências Humanas (FFCH),Programa de Pós-Graduação em Serviço Social,CNPQ::CIENCIAS SOCIAIS APLICADAS,openAccess,masterThesis,Ações afirmativas||Mestrado profissional||Permanência estudantil||Desigualdade racial||Decolonialidade,Não informado pela instituição,por,"Este estudo investiga as políticas de ações afirmativas no âmbito do Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT) do IF Baiano - Campus Catu. O objetivo é analisar os efeitos dessas políticas para o ingresso e permanência das/os mestrandas/os negras/os, ingressantes nos anos de 2021 e 2022, do citado programa. Para isso, estudamos a produção do racismo como motor da desigualdade racial que manteve, historicamente, a população negra brasileira apartada do usufruto da riqueza do país, além do não acesso aos espaços de poder, sobretudo das universidades, na pós-graduação stricto sensu. Outrossim, buscamos desvelar o processo histórico de construção das Políticas de ações afirmativas étnico racial na academia, destacando as tensões e disputas raciais e o protagonismo de intelectuais, de militantes e do Movimento Negro. O presente trabalho trata-se de uma pesquisa qualitativa e quantitativa e um estudo exploratório, descritivo e explicativo. Quanto aos recursos técnicos e aos instrumentos para coleta de dados, usou-se a Triangulação de Métodos, mediante análise documental, levantamento bibliográfico, aplicação de questionário e entrevistas. A perspectiva da pesquisa de campo foi obter a caracterização socioeconômica e cultural do conjunto dos sujeitos da pesquisa, mediante o questionário. Já nas entrevistas, buscou-se apresentar a percepção sobre a temática, a partir das próprias narrativas dos mestrandos. Assim, a estratégia de pesquisa é a análise por triangulação de métodos, enquanto a abordagem teórica é a decolonialidade e as epistemologias do Sul. Portanto, a autora põe-se neste estudo, como mulher negra, estudante bolsista e cotista, corpo geopoliticamente localizado, alinhado aos que pensam e fazem o giro decolonial, por meio do compromisso teórico, político e epistêmico, em direção à decolonialidade. Dessa forma, o estudo evidenciou que a desigualdade racial brasileira, foi produzida, historicamente, por uma elite branca, de valores eurocêntricos, cuja engrenagem foi a manutenção da ideia de hierarquização da raça humana sob sua autodenominação de superioridade. Os resultados indicam que as ações afirmativas, nas universidades e na pós-graduação, são conquistas significativas. No entanto, embora garantam o ingresso de estudantes negras/os, estes enfrentam dificuldades socioeconômica e cultural para assegurar a permanência material e simbólica na academia. Logo, com a pesquisa, foi possível concluir que a garantia de condições materiais efetivas e a decolonialidade epistêmica são necessárias para transformar a academia em um espaço verdadeiramente inclusivo e plural.",https://repositorio.ufba.br/handle/ri/40504,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
